"SampleName","File","Directory","FilePath","Success","Issues","Title"
"Sample-1","Sample-1.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-1.json","False","Missing input properties: myObject","Create a new object with add"
"Sample-100","Sample-100.json","remove","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\remove\Sample-100.json","False","Missing input properties: data","Remove null values"
"Sample-101","Sample-101.json","merge","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\merge\Sample-101.json","False","System.Object[]","Deep merge nested objects"
"Sample-102","Sample-102.json","decisionTable","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\decisionTable\Sample-102.json","False","Missing input properties: applications","Decision table for loan approval"
"Sample-103","Sample-103.json","datetime","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\datetime\Sample-103.json","False","Missing input properties: schedule","Create specific datetime values"
"Sample-104","Sample-104.json","fetch","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\fetch\Sample-104.json","False","Missing input properties: data","Fetch multiple values to summary"
"Sample-105","Sample-105.json","fetch","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\fetch\Sample-105.json","False","Missing input properties: test","Fetch array elements by index"
"Sample-106","Sample-106.json","math","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math\Sample-106.json","False","Missing input properties: calc","Floor, sqrt, and power functions"
"Sample-107","Sample-107.json","math","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math\Sample-107.json","False","Missing input properties: stats","Modulo, average, and sum functions"
"Sample-108","Sample-108.json","newGuid","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\newGuid\Sample-108.json","False","Missing input properties: database","Generate GUIDs for database records"
"Sample-109","Sample-109.json","newGuid","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\newGuid\Sample-109.json","False","Missing input properties: record","Create composite GUID keys"
"Sample-110","Sample-110.json","parse","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\parse\Sample-110.json","False","Missing input properties: raw","Parse complex nested JSON"
"Sample-111","Sample-111.json","parse","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\parse\Sample-111.json","False","Missing input properties: strings","Parse array of JSON strings"
"Sample-112","Sample-112.json","partial","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\partial\Sample-112.json","False","Missing input properties: fullData","Partial for API response filtering"
"Sample-113","Sample-113.json","partial","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\partial\Sample-113.json","False","Missing input properties: tasks","Partial for lightweight object copies"
"Sample-114","Sample-114.json","promote","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\promote\Sample-114.json","False","Missing input properties: response","Promote error codes to objects"
"Sample-115","Sample-115.json","promote","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\promote\Sample-115.json","False","Missing input properties: data","Promote with metadata wrapping"
"Sample-116","Sample-116.json","toString","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\toString\Sample-116.json","False","Missing input properties: settings","Convert object to JSON string"
"Sample-117","Sample-117.json","toString","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\toString\Sample-117.json","False","Missing input properties: post","Convert array to string"
"Sample-118","Sample-118.json","indirect","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\indirect\Sample-118.json","False","Missing input properties: result","Indirect reference to dynamic path"
"Sample-119","Sample-119.json","indirect","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\indirect\Sample-119.json","False","Missing input properties: selectedPrice","Indirect with computed path from data"
"Sample-120","Sample-120.json","indirect","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\indirect\Sample-120.json","False","Missing input properties: dbHost","Indirect for configuration lookup"
"Sample-121","Sample-121.json","indirect","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\indirect\Sample-121.json","False","Missing input properties: selectedColor","Indirect array element access"
"Sample-122","Sample-122.json","indirect","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\indirect\Sample-122.json","False","Missing input properties: contactEmail","Indirect with nested object navigation"
"Sample-133","Sample-133.json","flatten","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\flatten\Sample-133.json","False","System.Object[]","Flatten nested object to flat structure"
"Sample-134","Sample-134.json","flatten","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\flatten\Sample-134.json","False","System.Object[]","Flatten with custom delimiter"
"Sample-135","Sample-135.json","flatten","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\flatten\Sample-135.json","False","System.Object[]","Flatten specific path only"
"Sample-136","Sample-136.json","flatten","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\flatten\Sample-136.json","False","System.Object[]","Flatten array elements"
"Sample-137","Sample-137.json","flatten","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\flatten\Sample-137.json","False","System.Object[]","Flatten deeply nested config"
"Sample-138","Sample-138.json","resolve","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\resolve\Sample-138.json","False","System.Object[]","Resolve references in object"
"Sample-139","Sample-139.json","resolve","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\resolve\Sample-139.json","False","System.Object[]","Resolve multiple references"
"Sample-140","Sample-140.json","resolve","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\resolve\Sample-140.json","False","System.Object[]","Resolve with external lookup"
